Отметка времени;День Вашего рождения (числом);Месяц Вашего рождения (числом);Год Вашего рождения (числом);Ваш пол;Полное наименование ВУЗа, в котором Вы учились на время сдачи экзамена;Где Вы жили на время сдачи экзамен?;Ваше семейное положение на время сдачи экзамена;Ваш доход на время сдачи экзамена;По Вашему мнению, каким был предмет?;Был ли Вам полезен данный предмет?;Был ли преподаватель увлечён предметом?;Были ли Вы увлечены данным предметом?;Готовили ли Вы шпаргалки?;Сами ли Вы готовили шпаргалки?;Вы списывали?;За какой период Вы подготовились к экзамену?;Склонны ли Вы к прокрастинации (прокрастина?ция — склонность к постоянному откладыванию какого-либо дела)?;Внимательно ли Вы слушали преподавателя во время лекции?;Было ли несколько удачных опытов в списывании до этого экзамена?;Как Вы посещали пары по этому предмету?;Какой формы был экзамен?;Какой по характеру Ваш преподаватель?;Пол Вашего преподавателя;Приблизительный возраст Вашего преподавателя;Преподаватель замечал, что Вы списываете?;Как вёл пары преподаватель?;Ходил ли преподаватель во время экзамена?;В каких отношениях Вы были с преподавателем?;Какую оценку Вы получили?
3.28.2019 21:14:53;1;1;1995;М;ПГНИУ;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В очень хороших отношениях;3
3.28.2019 22:54:39;29;8;1995;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.29.2019 18:37:30;05;10;1995;М;УрИ ГПС МЧС России;В съёмной квартире один;Один;Работаю, сам зарабатываю себе на жизнь;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;4
3.31.2019 0:02:10;20;6;1999;Ж;ПГНИУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Нет;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В очень хороших отношениях;4
3.31.2019 0:48:22;16;02;1989;М;ПГНИУ;С родителями в квартире;Один;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
3.31.2019 0:53:11;16;02;1989;М;ПГНИУ;С родителями в квартире;Один;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.31.2019 9:38:10;1;4;1998;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;До 30 лет;Да, и делал замечания;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
3.31.2019 23:37:07;30;08;2000;Ж;Пггпу;В общежитии;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.31.2019 23:38:29;25;11;2000;Ж;Пермский государственный гуманитарно-педагогический университет;В общежитии;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Когда как;Нет, не были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и делал замечания;Материал был понятен не весь;Да, ходил;В нейтральных;4
3.31.2019 23:47:05;11;04;2000;Ж;ПГГПУ;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Нет;Когда как;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
4.1.2019 0:02:15;16;05;2000;Ж;1;С родителями в квартире;Один;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в плохих, чем в хороших;3
4.1.2019 0:55:05;12;05;2000;Ж;ПГГПУ;В съёмной квартире не один;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;«В одно ухо влетало, в другое вылетало»;Да, были;Был почти на всех парах;Письменной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.1.2019 8:35:33;17;4;2000;Ж;Пермский государственный гуманитарно-педагогический университет ;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;4
4.1.2019 8:44:06;20;10;1997;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 8:46:02;30;10;1997;Ж;Пермский государственный национальный исследовательский университет;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Очень часто прогуливал;Письменной;Строгий;Ж;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.1.2019 8:52:07;11;03;2000;Ж;Пермский Государственный Гуманитарно-педагогический Университет;В общежитии;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Нет;Когда как;Нет, не были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Да, и делал замечания;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 9:17:49;18;10;2000;М;ПГНИУ;В своей квартире не один;Есть девушка/молодой человек;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.1.2019 12:06:47;02;07;1996;Ж;Пгппу;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Очень часто прогуливал;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В плохих, преподаватель постоянно цеплялся ко мне;2
4.1.2019 14:06:16;8;8;1993;М;ПНИПУ;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.1.2019 15:58:48;27;8;1996;Ж;Пермский государственный гуманитарно-педагогический университет;С родителями в квартире;Один;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В плохих, преподаватель постоянно цеплялся ко мне;3
4.1.2019 16:14:08;9;1;1998;М;Пнипу;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Да, ходил;В очень хороших отношениях;4
4.1.2019 16:16:28;9;1;1998;М;-;В своей квартире не один;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Устной;Строгий;Ж;Старше 50 лет;Да, и позволял это делать;Материал был понятен не весь;Нет, не ходил;Скорее всего в хороших, чем в плохих;4
4.1.2019 16:18:30;30;10;1996;Ж;Пгму им.ак. Е.А. Вагнера;В общежитии;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Да;Когда как;Да, были;Ходили на все пары;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.1.2019 16:31:16;30;3;1996;М;ПГНИУ;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Да, ходил;В очень хороших отношениях;3
4.1.2019 16:33:27;19;04;1994;Ж;ФГБОУ ВО ПГМУ им. академика Е.А.Вагнера;В общежитии;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;4
4.1.2019 16:37:37;9;11;1995;Ж;ПГГПУ;В своей квартире не один;Есть девушка/молодой человек;Работаю и получаю степендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;Старше 50 лет;Да, и делал замечания;Материал был вообще не понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
4.1.2019 16:37:49;12;4;1996;Ж;Пермский государственный национальный исследовательский университет ;В своей квартире не один;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;Добрый и отзывчивый;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;5
4.1.2019 16:40:49;20;06;1996;Ж;ПГГПУ;В съёмной квартире не один;Один;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и позволял это делать;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;3
4.1.2019 17:40:38;25;09;1996;Ж;ФГБОУ ВО «ПГМУ имени академика Е. А. Вагнера» Минздрава России;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Когда как;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;С 30 до 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 17:42:35;25;09;1996;Ж;ФГБОУ ВО «ПГМУ имени академика Е. А. Вагнера» Минздрава России;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Нет, не были;Ходили на все пары;Устной;Строгий;Ж;Старше 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Нет, не ходил;В нейтральных;2
4.1.2019 18:03:32;26;10;2000;Ж;ФГБОУ ПФЭК;В общежитии;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Строгий;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
4.1.2019 18:35:21;27;01;2000;Ж;Пнипу ;В своей квартире не один;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Нет, не сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;Добрый и отзывчивый;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;4
4.1.2019 21:06:34;3;4;98;Ж;самгту;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
4.1.2019 21:07:14;29;1;1996;Ж;Сниу им королева;В своей квартире не один;Женат/замужем;Работаю, сам зарабатываю себе на жизнь;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;5
4.1.2019 21:09:44;13;9;2000;М;Сгау ;В своей квартире не один;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Письменной;По настроению;Ж;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;3
4.1.2019 21:12:05;4;5;2000;М;СНИУ им.Королева;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;По настроению;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;В нейтральных;5
4.1.2019 21:13:01;22;09;2000;М;Самарский национальный исследовательский университет им. академика Королева;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Устной;Добрый и отзывчивый;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В очень хороших отношениях;5
4.1.2019 21:13:39;4;5;2000;М;сниу;В общежитии;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Нет, не были;Ходили на все пары;Письменной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Материал был вообще не понятен;Нет, не ходил;В нейтральных;5
4.1.2019 21:16:37;15;5;1997;Ж;федеральное государственное автономное образовательное учреждение высшего образования «Самарский национальный исследовательский университет имени академика С.П. Королева» (Самарский университет);С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Нет;Когда как;Да, были;Ходили на все пары;Устной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Материал был вообще не понятен;Нет, не ходил;В нейтральных;3
4.1.2019 21:24:41;15;12;1999;М;Самарский Международный ;С родителями в квартире;Есть девушка/молодой человек;Работаю и получаю степендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;С 30 до 50 лет;Да, и позволял это делать;Материал был понятен не весь;Нет, не ходил;В очень хороших отношениях;5
4.1.2019 21:28:21;1999;5;24;М;СНИУ им академика С.П. Королева;С родителями в квартире;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;По настроению;М;С 30 до 50 лет;Да, и делал замечания;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 21:34:02;17;06;2000;Ж;Самарский национально-исследовательский университет имени академика С.П. Королева;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Письменной;Строгий;М;С 30 до 50 лет;Нет, не замечал;Материал был понятен не весь;Нет, не ходил;В нейтральных;4
4.1.2019 21:39:03;1;12;99;М;СНИУ;В общежитии;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Да;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;4
4.1.2019 21:41:29;21;12;1998;Ж;Cамаркий Университет;В съёмной квартире один;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;Строгий;М;Старше 50 лет;Да, и выгонял с экзамена;Весь материал был понятен;Нет, не ходил;В нейтральных;4
4.1.2019 21:44:35;21;12;1998;Ж;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Больше 2 недель;Нет;Когда как;Да, были;Ходили на все пары;Устной;По настроению;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был вообще не понятен;Да, ходил;В нейтральных;5
4.1.2019 21:46:00;30;04;2000;М;Самарский Университет;С родителями в квартире;Один;Живу на стипендию;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был вообще не понятен;Нет, не ходил;Скорее всего в плохих, чем в хороших;4
4.1.2019 21:54:41;01;10;1999;М;Самарский национальный исследовательский университет имени академика С.П. Королева;В общежитии;Есть девушка/молодой человек;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Был полезен;Да, был увлечён;Нет, не был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Нет;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Да, и выгонял с экзамена;Материал был понятен не весь;Да, ходил;Скорее всего в хороших, чем в плохих;2
4.1.2019 21:59:27;03;05;2000;М;Самарский университет;С родителями в квартире;Один;Живу за счёт родителей;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Не был полезен;Нет, не был увлечён;Нет, не был увлечён;Да, готовил;Нет, не сам готовил;Да;От 1 до 2 недель;Да;Когда как;Да, были;Был почти на всех парах;Устной;По настроению;Ж;С 30 до 50 лет;Да, и позволял это делать;Материал был вообще не понятен;Нет, не ходил;В нейтральных;4
4.1.2019 22:12:33;24;9;2000;М;Самарский университет ;В съёмной квартире не один;Один;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Не был полезен;Нет, не был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Больше 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Устной;По настроению;Ж;Старше 50 лет;Да, и позволял это делать;Материал был понятен не весь;Да, ходил;Скорее всего в плохих, чем в хороших;3
4.1.2019 22:19:45;19;11;2000;Ж;Самарский национальный исследовательский университет им. Королёва;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Лёгкий, т.к. очень редко или вообще не приходилось делать задания;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;Меньше, чем 1 неделя;Да;Когда как;Да, были;Ходили на все пары;Устной;Строгий;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;В нейтральных;3
4.1.2019 22:23:38;20;12;1999;М;Самарский университет ;С родителями в квартире;Один;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Да;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Ходили на все пары;Письменной;По настроению;М;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;В нейтральных;4
4.1.2019 23:34:58;5;1;1999;Ж;Самарский национальный исследовательский университет имени академика С.П. Королева;С родителями в квартире;Есть девушка/молодой человек;Живу на стипендию;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Нет, не готовил;Не готовил;Нет;Меньше, чем 1 неделя;Нет;Да, конспектировал всё, что он говорит;Нет, не были;Был почти на всех парах;Письменной;По настроению;М;С 30 до 50 лет;Нет, не замечал;Весь материал был понятен;Да, ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 23:40:56;25;04;1999;Ж;Самарский университет;С родителями в квартире;Есть девушка/молодой человек;Живу за счёт родителей;Средней сложности: выполнял все задания в учебный период без особых трудностей;Был полезен;Да, был увлечён;Да, был увлечён;Да, готовил;Да, сам готовил;Нет;От 1 до 2 недель;Да;Да, конспектировал всё, что он говорит;Да, были;Был почти на всех парах;Устной;По настроению;Ж;Старше 50 лет;Нет, не замечал;Весь материал был понятен;Нет, не ходил;Скорее всего в хороших, чем в плохих;5
4.1.2019 23:47:16;24;06;1999;Ж;Самарский университет ;В своей квартире один;Один;Живу за счёт родителей;Сложный, т.к. приходилось уделять много времени данному предмету в учебный период;Не был полезен;Да, был увлечён;Нет, не был увлечён;Нет, не готовил;Не готовил;Нет;От 1 до 2 недель;Да;Когда как;Нет, не были;Был почти на всех парах;Устной;По настроению;М;Старше 50 лет;Нет, не замечал;Материал был понятен не весь;Да, ходил;В нейтральных;5
